Date,Open,High,Low,Close,Adj Close,Volume
2011-05-19,246.000000,246.000000,241.429993,242.929993,181.304031,3538375
2011-05-20,244.800003,246.300003,241.600006,244.179993,182.236938,6269095
2011-05-23,243.000000,243.610001,236.600006,237.600006,177.326157,7595615
2011-05-24,239.000000,243.000000,237.300003,240.479996,179.475555,6296630
2011-05-25,240.779999,240.779999,235.000000,236.330002,176.378311,6637750
2011-05-26,238.899994,242.399994,236.899994,241.679993,180.371124,6305810
2011-05-27,242.990005,245.600006,241.250000,244.119995,182.192169,8170820
2011-05-30,244.800003,249.600006,244.800003,249.050003,185.871536,5998095
2011-05-31,250.380005,257.799988,250.199997,256.500000,191.431625,10911405
2011-06-01,256.450012,258.350006,253.039993,255.649994,190.797256,3961410
2011-06-02,251.020004,257.000000,251.020004,254.750000,190.125580,4338985
2011-06-03,254.399994,257.600006,244.800003,248.550003,185.498398,7067540
2011-06-06,248.399994,248.399994,241.630005,247.089996,184.408752,9434745
2011-06-07,245.399994,250.580002,244.949997,248.929993,185.781982,5219080
2011-06-08,246.179993,247.199997,243.429993,245.750000,194.338394,6911705
2011-06-09,245.979996,250.429993,245.800003,249.279999,197.129898,5245275
2011-06-10,248.399994,249.199997,245.000000,247.029999,195.350616,4060225
2011-06-13,246.039993,247.600006,243.399994,246.660004,195.058044,5555375
2011-06-14,247.000000,252.839996,247.000000,252.009995,199.288788,5273515
2011-06-15,251.940002,252.000000,244.199997,244.880005,193.650406,6280325
2011-06-16,243.990005,246.000000,241.059998,243.570007,192.614487,13606230
2011-06-17,248.940002,248.940002,242.699997,244.509995,193.357803,6305405
2011-06-20,245.000000,247.500000,240.199997,245.279999,193.966721,7130700
2011-06-21,246.199997,252.000000,245.279999,248.369995,196.410294,6476290
2011-06-22,250.600006,253.520004,249.000000,250.929993,198.434723,7148560
2011-06-23,249.470001,250.399994,246.570007,248.869995,196.805664,4770705
2011-06-24,250.199997,255.600006,249.990005,254.449997,201.218338,5449420
2011-06-27,253.399994,262.480011,250.000000,261.279999,206.619476,8757805
2011-06-28,262.209991,262.420013,258.049988,260.579987,206.065918,6884085
2011-06-29,262.399994,263.200012,257.320007,258.709991,204.587112,6687300
2011-06-30,259.140015,261.200012,256.220001,257.910004,203.954483,7557495
2011-07-01,262.799988,263.000000,258.600006,261.829987,207.054413,4277470
2011-07-04,264.779999,267.540009,262.510010,266.839996,211.016312,4394180
2011-07-05,267.899994,267.899994,264.010010,265.589996,210.027817,3904440
2011-07-06,265.250000,266.119995,261.200012,262.029999,207.212570,2691170
2011-07-07,262.589996,267.000000,261.920013,266.339996,210.620911,2870420
2011-07-08,266.820007,267.579987,260.559998,261.190002,206.548325,4272440
2011-07-11,261.200012,261.200012,252.009995,252.789993,199.905609,6432280
2011-07-12,250.880005,254.449997,249.039993,253.279999,200.293106,7215995
2011-07-13,253.800003,256.779999,252.539993,254.360001,201.147156,4801380
2011-07-14,253.320007,258.839996,253.000000,255.850006,202.325470,4072410
2011-07-15,256.200012,257.369995,252.509995,253.580002,200.530319,2789800
2011-07-18,253.050003,253.899994,250.419998,252.500000,199.676300,3974445
2011-07-19,253.539993,255.600006,252.600006,254.610001,201.344849,3553920
